hidden size,epoch,training loss,validation loss,F1, train time
256,0.32,5.99,5.405,,
256,0.64,5.2156,4.792,,
256,0.96,4.8534,4.4923,,
256,1.28,4.5843,4.3004,,
256,1.6,4.4556,4.1821,,
256,1.92,4.3517,4.0942,,
256,2.24,4.2428,3.9982,,
256,2.56,4.1919,3.9236,,
256,2.88,3.9766,3.8789,,
256,3.2,3.9287,3.8192,,
256,3.52,3.841,3.8033,,
256,3.84,3.9001,3.7614,,
256,4.16,3.747,3.7374,,
256,4.48,3.717,3.7221,,
256,4.8,3.7169,3.7172,,
